DATE,PITGND01JPM661N
1975-08-01,71.6403651115619
1975-09-01,72.204462474645
1975-10-01,72.7685598377282
1975-11-01,72.7685598377282
1975-12-01,73.7087221095335
1976-01-01,75.0249492900609
1976-02-01,75.589046653144
1976-03-01,75.8710953346856
1976-04-01,76.0591277890467
1976-05-01,76.1531440162272
1976-06-01,76.3411764705882
1976-07-01,76.9052738336714
1976-08-01,77.2813387423935
1976-09-01,77.9394523326572
1976-10-01,78.1274847870182
1976-11-01,78.5035496957404
1976-12-01,79.2556795131846
1977-01-01,79.2556795131846
1977-02-01,79.5377281947262
1977-03-01,79.9137931034483
1977-04-01,80.0078093306288
1977-05-01,80.2898580121704
1977-06-01,80.6659229208925
1977-07-01,80.4778904665314
1977-08-01,80.8539553752536
1977-09-01,81.4180527383367
1977-10-01,81.2300202839757
1977-11-01,81.5120689655172
1977-12-01,81.6060851926978
1978-01-01,81.0419878296146
1978-02-01,80.9479716024341
1978-03-01,80.9479716024341
1978-04-01,80.9479716024341
1978-05-01,81.1360040567951
1978-06-01,81.6060851926978
1978-07-01,81.7001014198783
1978-08-01,81.5120689655172
1978-09-01,81.7001014198783
1978-10-01,81.4180527383367
1978-11-01,81.2300202839757
1978-12-01,81.5120689655172
1979-01-01,81.2300202839757
1979-02-01,81.4180527383367
1979-03-01,81.6060851926978
1979-04-01,81.9821501014199
1979-05-01,82.2641987829614
1979-06-01,82.8282961460446
1979-07-01,83.2043610547667
1979-08-01,83.4864097363083
1979-09-01,84.2385395537525
1979-10-01,84.6146044624746
1979-11-01,85.0846855983773
1979-12-01,85.742799188641
1980-01-01,86.8709939148073
1980-02-01,87.9051724137931
1980-03-01,88.5632860040568
1980-04-01,89.5974645030426
1980-05-01,90.91369168357
1980-06-01,91.3837728194726
1980-07-01,91.5718052738337
1980-08-01,92.1359026369168
1980-09-01,92.511967545639
1980-10-01,92.6059837728195
1980-11-01,92.9820486815416
1980-12-01,93.3581135902637
1981-01-01,93.1700811359026
1981-02-01,93.3581135902637
1981-03-01,93.4521298174442
1981-04-01,93.4521298174442
1981-05-01,94.1102434077079
1981-06-01,93.5461460446248
1981-07-01,93.7341784989858
1981-08-01,94.298275862069
1981-09-01,94.5803245436106
1981-10-01,94.5803245436106
1981-11-01,94.8623732251522
1981-12-01,95.1444219066937
1982-01-01,94.5803245436106
1982-02-01,94.7683569979716
1982-03-01,94.9563894523327
1982-04-01,95.1444219066937
1982-05-01,95.1444219066937
1982-06-01,95.3324543610548
1982-07-01,95.4264705882353
1982-08-01,95.8025354969574
1982-09-01,96.1786004056795
1982-10-01,96.1786004056795
1982-11-01,96.084584178499
1982-12-01,95.9905679513184
1983-01-01,95.4264705882353
1983-02-01,95.4264705882353
1983-03-01,95.6145030425964
1983-04-01,94.8623732251522
1983-05-01,95.7085192697769
1983-06-01,95.9905679513184
1983-07-01,95.9905679513184
1983-08-01,96.084584178499
1983-09-01,96.3666328600406
1983-10-01,96.3666328600406
1983-11-01,96.3666328600406
1983-12-01,96.6486815415822
1984-01-01,96.6486815415822
1984-02-01,96.9307302231237
1984-03-01,96.5546653144016
1984-04-01,96.4606490872211
1984-05-01,96.7426977687627
1984-06-01,96.7426977687627
1984-07-01,96.9307302231237
1984-08-01,97.0247464503043
1984-09-01,97.2127789046653
1984-10-01,97.0247464503043
1984-11-01,97.0247464503043
1984-12-01,97.2127789046653
1985-01-01,97.4008113590264
1985-02-01,97.5888438133874
1985-03-01,96.9307302231237
1985-04-01,96.9307302231237
