DATE,PITGVG01JPM661N
1975-10-01,128.192452830189
1975-11-01,128.092924528302
1975-12-01,127.296698113208
1976-01-01,127.893867924528
1976-02-01,128.192452830189
1976-03-01,128.491037735849
1976-04-01,128.690094339623
1976-05-01,128.889150943396
1976-06-01,128.988679245283
1976-07-01,129.486320754717
1976-08-01,129.585849056604
1976-09-01,129.585849056604
1976-10-01,130.083490566038
1976-11-01,130.083490566038
1976-12-01,130.183018867925
1977-01-01,130.282547169811
1977-02-01,130.680660377358
1977-03-01,130.979245283019
1977-04-01,131.078773584906
1977-05-01,131.675943396226
1977-06-01,131.775471698113
1977-07-01,132.17358490566
1977-08-01,132.372641509434
1977-09-01,132.372641509434
1977-10-01,132.372641509434
1977-11-01,132.472169811321
1977-12-01,132.372641509434
1978-01-01,132.472169811321
1978-02-01,132.770754716981
1978-03-01,133.566981132075
1978-04-01,133.666509433962
1978-05-01,133.766037735849
1978-06-01,133.766037735849
1978-07-01,133.766037735849
1978-08-01,133.865566037736
1978-09-01,133.865566037736
1978-10-01,133.865566037736
1978-11-01,133.965094339623
1978-12-01,133.865566037736
1979-01-01,134.164150943396
1979-02-01,133.965094339623
1979-03-01,134.263679245283
1979-04-01,134.462735849057
1979-05-01,134.960377358491
1979-06-01,135.059905660377
1979-07-01,135.358490566038
1979-08-01,135.358490566038
1979-09-01,135.756603773585
1979-10-01,135.856132075472
1979-11-01,136.055188679245
1979-12-01,136.751886792453
1980-01-01,138.443867924528
1980-02-01,139.140566037736
1980-03-01,139.439150943396
1980-04-01,140.036320754717
1980-05-01,140.832547169811
1980-06-01,141.031603773585
1980-07-01,142.12641509434
1980-08-01,143.022169811321
1980-09-01,143.022169811321
1980-10-01,143.320754716981
1980-11-01,143.320754716981
1980-12-01,143.320754716981
1981-01-01,143.818396226415
1981-02-01,143.619339622642
1981-03-01,143.619339622642
1981-04-01,143.917924528302
1981-05-01,144.515094339623
1981-06-01,144.415566037736
1981-07-01,144.813679245283
1981-08-01,144.91320754717
1981-09-01,145.012735849057
1981-10-01,145.012735849057
1981-11-01,145.112264150943
1981-12-01,145.21179245283
1982-01-01,145.908490566038
1982-02-01,146.306603773585
1982-03-01,146.505660377358
1982-04-01,146.505660377358
1982-05-01,146.505660377358
1982-06-01,146.505660377358
1982-07-01,146.704716981132
1982-08-01,146.903773584906
1982-09-01,147.003301886792
1982-10-01,147.102830188679
1982-11-01,147.600471698113
1982-12-01,147.003301886792
1983-01-01,146.903773584906
1983-02-01,146.903773584906
1983-03-01,146.903773584906
1983-04-01,146.903773584906
1983-05-01,146.704716981132
1983-06-01,146.605188679245
1983-07-01,146.704716981132
1983-08-01,146.704716981132
1983-09-01,146.605188679245
1983-10-01,146.605188679245
1983-11-01,146.406132075472
1983-12-01,146.605188679245
1984-01-01,146.505660377358
1984-02-01,146.505660377358
1984-03-01,146.505660377358
1984-04-01,146.505660377358
1984-05-01,146.605188679245
1984-06-01,146.704716981132
1984-07-01,146.704716981132
1984-08-01,146.903773584906
1984-09-01,146.903773584906
1984-10-01,146.903773584906
1984-11-01,146.903773584906
1984-12-01,146.903773584906
1985-01-01,147.600471698113
1985-02-01,147.600471698113
1985-03-01,147.600471698113
1985-04-01,147.202358490566
1985-05-01,147.600471698113
1985-06-01,147.102830188679
1985-07-01,147.003301886792
1985-08-01,146.903773584906
1985-09-01,146.605188679245
1985-10-01,146.207075471698
1985-11-01,146.008018867924
1985-12-01,145.808962264151
1986-01-01,145.21179245283
1986-02-01,145.012735849057
1986-03-01,144.91320754717
1986-04-01,144.415566037736
1986-05-01,144.216509433962
1986-06-01,143.818396226415
1986-07-01,143.420283018868
1986-08-01,142.72358490566
1986-09-01,142.325471698113
1986-10-01,142.026886792453
1986-11-01,141.728301886792
1986-12-01,141.529245283019
1987-01-01,141.330188679245
1987-02-01,141.230660377358
1987-03-01,140.932075471698
1987-04-01,140.733018867925
1987-05-01,140.533962264151
1987-06-01,139.837264150943
1987-07-01,139.837264150943
1987-08-01,139.837264150943
1987-09-01,139.837264150943
1987-10-01,139.63820754717
1987-11-01,139.63820754717
1987-12-01,139.538679245283
1988-01-01,139.538679245283
1988-02-01,139.439150943396
1988-03-01,139.439150943396
1988-04-01,139.538679245283
1988-05-01,139.538679245283
1988-06-01,139.538679245283
1988-07-01,139.63820754717
1988-08-01,139.63820754717
1988-09-01,139.837264150943
1988-10-01,139.837264150943
1988-11-01,140.334905660377
